"key","device","device-id","event","guest-id"
"1578151801","access point","ap1-1","new client","Veronica"
"1578151802","access point","ap1-1","new client","Jason"
"1578151804","access point","ap1-1","new client","Thomas"
"1578151817","access point","ap1-1","new client","Eugene"
"1578151818","access point","ap1-4","new client","Salina"
"1578151820","access point","ap2-1","new client","Rob"
"1578151835","access point","ap1-3","new client","Kristina"
"1578151857","access point","ap1-1","new client","Alok"
"1578153300","door sensor","110","unlocked no keycard","Veronica"
"1578153302","access point","ap1-4","user connected","Veronica"
"1578153307","door sensor","110","door closed","Veronica"
"1578153322","access point","ap1-2","user connected","Veronica"
"1578153660","access point","ap1-4","user connected","Veronica"
"1578153680","access point","ap1-1","user connected","Veronica"
"1578153690","door sensor","110","successful keycard unlock","Veronica"
"1578153697","door sensor","110","door closed","Veronica"
"1578154440","door sensor","110","unlocked no keycard","Thomas"
"1578154442","access point","ap1-4","user connected","Thomas"
"1578154447","door sensor","110","door closed","Thomas"
"1578154462","access point","ap1-2","user connected","Thomas"
"1578154800","access point","ap1-4","user connected","Thomas"
"1578154820","access point","ap1-1","user connected","Thomas"
"1578154830","door sensor","110","successful keycard unlock","Thomas"
"1578154837","door sensor","110","door closed","Thomas"
"1578155591","access point","ap1-4","new client","Marc-Andre"
"1578155610","access point","ap1-2","user connected","Marc-Andre"
"1578155619","door sensor","156","successful keycard unlock","Marc-Andre"
"1578155622","door sensor","156b","successful keycard unlock","Marc-Andre"
"1578155641","door sensor","156b","unlocked no keycard","Marc-Andre"
"1578155644","door sensor","156","unlocked no keycard","Marc-Andre"
"1578155652","access point","ap1-4","user connected","Marc-Andre"
"1578155692","motion sensor","elevator","motion detected","n/a"
"1578155702","access point","ap2-1","user connected","Marc-Andre"
"1578155711","door sensor","233","successful keycard unlock","Marc-Andre"
"1578155715","door sensor","233","door closed","Marc-Andre"
"1578155861","motion sensor","elevator","motion detected","n/a"
"1578155868","access point","ap1-4","user connected","Rob"
"1578155875","access point","ap1-2","user connected","Rob"
"1578155882","door sensor","151","successful keycard unlock","Rob"
"1578155885","door sensor","151","door closed","Rob"
"1578156902","access point","ap1-4","new client","Dave"
"1578156971","access point","ap1-3","user connected","Dave"
"1578156975","door sensor","130","successful keycard unlock","Dave"
"1578156978","door sensor","130","door closed","Dave"
"1578157207","door sensor","233","unlocked no keycard","Marc-Andre"
"1578157209","door sensor","233","door closed","Marc-Andre"
"1578157219","door sensor","231","successful keycard unlock","Marc-Andre"
"1578157222","door sensor","231","door closed","Marc-Andre"
"1578157324","door sensor","110","unlocked no keycard","Veronica"
"1578157330","access point","ap1-4","user connected","Jason"
"1578157341","access point","ap1-4","user connected","Eugene"
"1578157342","access point","ap1-4","user connected","Thomas"
"1578157343","access point","ap1-4","user connected","Alok"
"1578157344","door sensor","110","door closed","Veronica"
"1578157348","access point","ap1-4","user connected","Veronica"
"1578157351","access point","ap2-1","user connected","Veronica"
"1578157355","access point","ap1-3","user connected","Thomas"
"1578157356","access point","ap1-3","user connected","Eugene"
"1578157357","motion sensor","elevator","motion detected","n/a"
"1578157358","access point","ap1-3","user connected","Alok"
"1578157365","door sensor","210","successful keycard unlock","Veronica"
"1578157369","door sensor","210","door closed","Veronica"
"1578157398","motion sensor","elevator","motion detected","n/a"
"1578157412","access point","ap2-1","user connected","Jason"
"1578158117","door sensor","231","unlocked no keycard","Marc-Andre"
"1578158120","door sensor","231","door closed","Marc-Andre"
"1578158121","motion sensor","elevator","motion detected","n/a"
"1578158131","door sensor","210","unlocked no keycard","Marc-Andre"
"1578158132","access point","ap1-4","user connected","Jason"
"1578158136","access point","ap1-3","user connected","Jason"
"1578158162","door sensor","210","door closed","Marc-Andre"
"1578158181","door sensor","232","successful keycard unlock","Marc-Andre"
"1578158187","door sensor","232","door closed","Marc-Andre"
"1578158591","motion sensor","elevator","motion detected","n/a"
"1578158592","door sensor","210","unlocked no keycard","Veronica"
"1578158595","door sensor","210","door closed","Veronica"
"1578158597","access point","ap1-4","user connected","Veronica"
"1578158601","access point","ap1-2","user connected","Veronica"
"1578158607","door sensor","151","successful keycard unlock","Veronica"
"1578158610","door sensor","151","door closed","Veronica"
"1578159917","door sensor","232","unlocked no keycard","Marc-Andre"
"1578159922","door sensor","232","door closed","Marc-Andre"
"1578159961","door sensor","210","successful keycard unlock","Marc-Andre"
"1578159965","door sensor","210","door closed","Marc-Andre"
"1578162369","door sensor","151","unlocked no keycard","Rob"
"1578162372","door sensor","151","door closed","Rob"
"1578162378","access point","ap1-4","user connected","Rob"
"1578162395","motion sensor","elevator","motion detected","n/a"
"1578162400","access point","ap2-1","user connected","Rob"
"1578162411","door sensor","231","successful keycard unlock","Rob"
"1578162416","door sensor","231","door closed","Rob"
"1578162971","door sensor","210","unlocked no keycard","Marc-Andre"
"1578162974","door sensor","210","door closed","Marc-Andre"
"1578162985","access point","ap2-3","user connected","Marc-Andre"
"1578163005","access point","ap2-2","user connected","Marc-Andre"
"1578163024","door sensor","244","successful keycard unlock","Marc-Andre"
"1578163026","door sensor","244","door closed","Marc-Andre"
"1578163512","door sensor","231","unlocked no keycard","Rob"
"1578163514","door sensor","231","door closed","Rob"
"1578163520","motion sensor","elevator","motion detected","n/a"
"1578163536","access point","ap1-4","user connected","Rob"
"1578163537","access point","ap1-4","user connected","Kristina"
"1578163550","access point","ap1-4","user disconnected","Rob"
"1578163552","access point","ap1-4","user disconnected","Kristina"
"1578164460","door sensor","151","unlocked no keycard","Veronica"
"1578164467","door sensor","151","door closed","Veronica"
"1578164477","access point","ap1-3","user connected","Veronica"
"1578165000","door sensor","244","unlocked no keycard","Marc-Andre"
"1578165005","door sensor","244","door closed","Marc-Andre"
"1578165015","door sensor","248","successful keycard unlock","Marc-Andre"
"1578165022","door sensor","248","door closed","Marc-Andre"
"1578165120","door sensor","231","unlocked no keycard","Rob"
"1578165127","door sensor","231","door closed","Rob"
"1578165160","motion sensor","elevator","motion detected","n/a"
"1578165180","access point","ap1-4","user connected","Rob"
"1578165210","access point","ap1-4","user disconnected","Rob"
"1578165950","access point","ap1-4","user connected","Eugene"
"1578165960","door sensor","110","successful keycard unlock","Eugene"
"1578165962","access point","ap1-1","user connected","Eugene"
"1578165967","door sensor","110","door closed","Eugene"
"1578166010","access point","ap1-4","user connected","Alok"
"1578166020","door sensor","110","successful keycard unlock","Alok"
"1578166022","access point","ap1-1","user connected","Alok"
"1578166027","door sensor","110","door closed","Alok"
"1578166080","door sensor","110","successful keycard unlock","Jason"
"1578166082","access point","ap1-1","user connected","Jason"
"1578166087","door sensor","110","door closed","Jason"
"1578166130","access point","ap1-4","user connected","Jason"
"1578166250","access point","ap1-4","user connected","Thomas"
"1578166260","door sensor","110","successful keycard unlock","Thomas"
"1578166263","access point","ap1-1","user connected","Thomas"
"1578166267","door sensor","110","door closed","Thomas"
"1578166435","door sensor","130","unlocked no keycard","Dave"
"1578166440","access point","ap1-4","user connected","Dave"
"1578166442","door sensor","130","door closed","Dave"
"1578166460","access point","ap1-4","user disconnected","Dave"
"1578166500","door sensor","248","unlocked no keycard","Marc-Andre"
"1578166507","door sensor","248","door closed","Marc-Andre"
"1578166515","door sensor","241","successful keycard unlock","Marc-Andre"
"1578166522","door sensor","241","door closed","Marc-Andre"
"1578166790","access point","ap1-4","user connected","Veronica"
"1578166800","door sensor","110","successful keycard unlock","Veronica"
"1578166801","access point","ap1-1","user connected","Veronica"
"1578166807","door sensor","110","door closed","Veronica"
"1578168300","door sensor","241","unlocked no keycard","Marc-Andre"
"1578168302","access point","ap2-3","user connected","Marc-Andre"
"1578168307","door sensor","241","door closed","Marc-Andre"
"1578168327","motion sensor","elevator","motion detected","n/a"
"1578168340","access point","ap1-4","user connected","Marc-Andre"
"1578168360","access point","ap1-3","user connected","Marc-Andre"
"1578168365","door sensor","105","successful keycard unlock","Marc-Andre"
"1578168372","door sensor","105","door closed","Marc-Andre"
"1578168600","access point","ap1-4","user connected","Dave"
"1578168620","access point","ap1-3","user connected","Dave"
"1578168622","door sensor","105","successful keycard unlock","Dave"
"1578168630","door sensor","105","door closed","Dave"
"1578168682","door sensor","105","unlocked no keycard","Marc-Andre"
"1578168690","door sensor","105","door closed","Marc-Andre"
"1578168692","access point","ap1-2","user connected","Marc-Andre"
"1578168700","door sensor","155","successful keycard unlock","Marc-Andre"
"1578168707","door sensor","155","door closed","Marc-Andre"
"1578168960","door sensor","110","unlocked no keycard","Alok"
"1578168962","access point","ap1-4","user connected","Alok"
"1578168967","door sensor","110","door closed","Alok"
"1578168982","access point","ap1-2","user connected","Alok"
"1578169320","access point","ap1-4","user connected","Alok"
"1578169340","access point","ap1-1","user connected","Alok"
"1578169350","door sensor","110","successful keycard unlock","Alok"
"1578169357","door sensor","110","door closed","Alok"
"1578169800","door sensor","110","unlocked no keycard","Veronica"
"1578169802","access point","ap1-4","user connected","Veronica"
"1578169807","door sensor","110","door closed","Veronica"
"1578169822","access point","ap1-2","user connected","Veronica"
"1578170160","access point","ap1-4","user connected","Veronica"
"1578170180","access point","ap1-1","user connected","Veronica"
"1578170190","door sensor","110","successful keycard unlock","Veronica"
"1578170197","door sensor","110","door closed","Veronica"
"1578170640","door sensor","155","unlocked no keycard","Marc-Andre"
"1578170647","door sensor","155","door closed","Marc-Andre"
"1578170660","door sensor","151","successful keycard unlock","Marc-Andre"
"1578170667","door sensor","151","door closed","Marc-Andre"
"1578172680","door sensor","110","unlocked no keycard","Jason"
"1578172682","access point","ap1-4","user connected","Jason"
"1578172687","door sensor","110","door closed","Jason"
"1578172702","access point","ap1-2","user connected","Jason"
"1578172800","door sensor","155","unlocked no keycard","Marc-Andre"
"1578172807","door sensor","155","door closed","Marc-Andre"
"1578173040","access point","ap1-4","user connected","Jason"
"1578173060","access point","ap1-1","user connected","Jason"
"1578173070","door sensor","110","successful keycard unlock","Jason"
"1578173077","door sensor","110","door closed","Jason"
"1578173220","door sensor","110","unlocked no keycard","Eugene"
"1578173222","access point","ap1-4","user connected","Eugene"
"1578173227","door sensor","110","door closed","Eugene"
"1578173242","access point","ap1-2","user connected","Eugene"
"1578173580","access point","ap1-4","user connected","Eugene"
"1578173600","access point","ap1-1","user connected","Eugene"
"1578173610","door sensor","110","successful keycard unlock","Eugene"
"1578173617","door sensor","110","door closed","Eugene"
"1578174600","door sensor","156","successful keycard unlock","Marc-Andre"
"1578174607","door sensor","156","door closed","Marc-Andre"
"1578174840","door sensor","156b","successful keycard unlock","Marc-Andre"
"1578174847","door sensor","156b","door closed","Marc-Andre"
"1578175055","door sensor","156b","unlocked no keycard","Marc-Andre"
"1578175062","door sensor","156b","door closed","Marc-Andre"
"1578175065","door sensor","156","unlocked no keycard","Marc-Andre"
"1578175072","door sensor","156","door closed","Marc-Andre"
"1578175080","access point","ap1-4","user connected","Marc-Andre"
"1578175100","access point","ap1-4","user disconnected","Marc-Andre"
"1578176700","door sensor","130","unlocked no keycard","Dave"
"1578176707","door sensor","130","door closed","Dave"
"1578176820","door sensor","130","successful keycard unlock","Dave"
"1578176827","door sensor","130","door closed","Dave"
"1578176880","door sensor","130","unlocked no keycard","Dave"
"1578176887","door sensor","130","door closed","Dave"
"1578176940","door sensor","130","successful keycard unlock","Dave"
"1578176947","door sensor","130","door closed","Dave"
"1578177000","door sensor","110","unlocked no keycard","Veronica"
"1578177002","access point","ap1-4","user connected","Veronica"
"1578177004","access point","ap1-4","user connected","Jason"
"1578177006","access point","ap1-4","user connected","Thomas"
"1578177011","access point","ap1-4","user connected","Eugene"
"1578177015","access point","ap1-3","user connected","Eugene"
"1578177016","access point","ap1-4","user connected","Alok"
"1578177018","access point","ap1-3","user connected","Alok"
"1578177022","door sensor","110","door closed","Veronica"
"1578177300","access point","ap1-3","user connected","Thomas"
"1578177360","access point","ap1-3","user connected","Jason"
"1578177390","access point","ap1-2","user connected","Veronica"
"1578177900","door sensor","130","unlocked no keycard","Dave"
